2019-07-04 23:05:47,682 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-07-04 23:05:47,688 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-04 23:05:47,690 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-07-04 23:05:59,308 [Worker-22] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-07-04 23:05:59,730 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: io.javabrains:junit-5-basics:0.0.1-SNAPSHOT @ /home/somak/somak/Junit-5-Java-Brains/junit-5-basics/pom.xml.
2019-07-04 23:05:59,734 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.junit.jupiter:junit-jupiter-api:jar:5.4.0 is missing, no dependency information available
2019-07-04 23:05:59,845 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /junit-5-basics/src/main/java
2019-07-04 23:05:59,846 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /junit-5-basics/src/main/resources
2019-07-04 23:05:59,846 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /junit-5-basics/src/test/java
2019-07-04 23:05:59,847 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /junit-5-basics/src/test/resources
2019-07-04 23:05:59,930 [Worker-22] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2019-07-04 23:06:11,163 [main] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.junit.jupiter:junit-jupiter-api:jar:5.4.0 is missing, no dependency information available
2019-07-04 23:06:43,289 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: io.javabrains:junit-5-basics:0.0.1-SNAPSHOT @ /home/somak/somak/Junit-5-Java-Brains/junit-5-basics/pom.xml.
